Filter_name,Gene_symbol,Include
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TP53,Y
tsg,TRAF3,Y
tsg,TSC1,Y
tsg,TSC1,Y
tsg,TSC2,Y
tsg,USP9X,Y
tsg,VHL,Y
tsg,VHL,Y
tsg,ZBTB7B,Y
tsg,ZMYM2,Y
tsg,ZMYM3,Y
